,ID Cliente,Abandono,Género,Adulto mayor,Con pareja,Dependientes,Antigüedad,Servicio Telefónico,Líneas Múltiples,Servicio de Internet,Seguridad Online,Copia de Seguridad Online,Protección Dispositivo,Soporte Técnico,Streaming TV,Streaming Películas,Tipo de contrato,Facturación Sin Papel,Método de Pago,Cargos Mensuales,Cargos Totales,Cargos Diarios,Numero de Servicios
0,0002-ORFBO,No,Femenino,No,Sí,Sí,9,Sí,0,DSL,0,1,0,1,1,0,Anual,Sí,Cheque por correo,65.6,593.3,2.1866666666666665,5
1,0003-MKNFE,No,Masculino,No,No,No,9,Sí,1,DSL,0,0,0,0,0,1,Mensual,No,Cheque por correo,59.9,542.4,1.9966666666666666,4
2,0004-TLHLJ,Sí,Masculino,No,No,No,4,Sí,0,Fibra óptica,0,0,1,0,0,0,Mensual,Sí,Cheque electrónico,73.9,280.85,2.4633333333333334,3
3,0011-IGKFF,Sí,Masculino,Sí,Sí,No,13,Sí,0,Fibra óptica,0,1,1,0,1,1,Mensual,Sí,Cheque electrónico,98.0,1237.85,3.2666666666666666,6
4,0013-EXCHZ,Sí,Femenino,Sí,Sí,No,3,Sí,0,Fibra óptica,0,0,0,1,1,0,Mensual,Sí,Cheque por correo,83.9,267.4,2.796666666666667,4
5,0013-MHZWF,No,Femenino,No,No,Sí,9,Sí,0,DSL,0,0,0,1,1,1,Mensual,Sí,Tarjeta de crédito (automático),69.4,571.45,2.3133333333333335,5
6,0013-SMEOE,No,Femenino,Sí,Sí,No,71,Sí,0,Fibra óptica,1,1,1,1,1,1,Semestral,Sí,Transferencia bancaria (automática),109.7,7904.25,3.6566666666666667,8
7,0014-BMAQU,No,Masculino,No,Sí,No,63,Sí,1,Fibra óptica,1,0,0,1,0,0,Semestral,Sí,Tarjeta de crédito (automático),84.65,5377.8,2.8216666666666668,5
8,0015-UOCOJ,No,Femenino,Sí,No,No,7,Sí,0,DSL,1,0,0,0,0,0,Mensual,Sí,Cheque electrónico,48.2,340.35,1.6066666666666667,3
9,0016-QLJIS,No,Femenino,No,Sí,Sí,65,Sí,1,DSL,1,1,1,1,1,1,Semestral,Sí,Cheque por correo,90.45,5957.9,3.015,9
10,0017-DINOC,No,Masculino,No,No,No,54,No,Sin servicio telefónico,DSL,1,0,0,1,1,0,Semestral,No,Tarjeta de crédito (automático),45.2,2460.55,1.5066666666666668,4
11,0017-IUDMW,No,Femenino,No,Sí,Sí,72,Sí,1,Fibra óptica,1,1,1,1,1,1,Semestral,Sí,Tarjeta de crédito (automático),116.8,8456.75,3.893333333333333,9
12,0018-NYROU,No,Femenino,No,Sí,No,5,Sí,0,Fibra óptica,0,0,0,0,0,0,Mensual,Sí,Cheque electrónico,68.95,351.5,2.2983333333333333,2
13,0019-EFAEP,No,Femenino,No,No,No,72,Sí,1,Fibra óptica,1,1,1,0,1,0,Semestral,Sí,Transferencia bancaria (automática),101.3,7261.25,3.3766666666666665,7
14,0019-GFNTW,No,Femenino,No,No,No,56,No,Sin servicio telefónico,DSL,1,1,1,1,0,0,Semestral,No,Transferencia bancaria (automática),45.05,2560.1,1.5016666666666665,5
15,0020-INWCK,No,Femenino,No,Sí,Sí,71,Sí,1,Fibra óptica,0,1,1,0,0,1,Semestral,Sí,Tarjeta de crédito (automático),95.75,6849.4,3.191666666666667,6
16,0020-JDNXP,No,Femenino,No,Sí,Sí,34,No,Sin servicio telefónico,DSL,1,0,1,1,1,1,Anual,No,Cheque por correo,61.25,1993.2,2.0416666666666665,6
17,0021-IKXGC,No,Femenino,Sí,No,No,1,Sí,1,Fibra óptica,0,0,0,0,0,0,Mensual,Sí,Cheque electrónico,72.1,72.1,2.4033333333333333,3
18,0022-TCJCI,Sí,Masculino,Sí,No,No,45,Sí,0,DSL,1,0,1,0,0,1,Anual,No,Tarjeta de crédito (automático),62.7,2791.5,2.0900000000000003,5
19,0023-HGHWL,Sí,Masculino,Sí,No,No,1,No,Sin servicio telefónico,DSL,0,0,0,0,0,0,Mensual,Sí,Cheque electrónico,25.1,25.1,0.8366666666666667,1
20,0023-UYUPN,No,Femenino,Sí,Sí,No,50,Sí,1,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,No,Cheque electrónico,25.2,1306.3,0.84,2
21,0023-XUOPT,Sí,Femenino,No,Sí,No,13,Sí,1,Fibra óptica,0,1,1,0,1,0,Mensual,No,Cheque electrónico,94.1,1215.6,3.1366666666666663,6
22,0027-KWYKW,No,Femenino,No,Sí,Sí,23,Sí,1,Fibra óptica,0,0,0,0,1,0,Mensual,Sí,Cheque electrónico,83.75,1849.95,2.7916666666666665,4
23,0030-FNXPP,No,Femenino,No,No,No,3,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,No,Cheque por correo,19.85,57.2,0.6616666666666667,1
24,0031-PVLZI,Sí,Femenino,No,Sí,Sí,4,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,No,Cheque por correo,20.35,76.35,0.6783333333333333,1
25,0032-PGELS,Sí,Femenino,No,Sí,Sí,1,No,Sin servicio telefónico,DSL,1,0,0,0,0,0,Mensual,No,Transferencia bancaria (automática),30.5,30.5,1.0166666666666666,2
26,0036-IHMOT,No,Femenino,No,Sí,Sí,55,Sí,0,Fibra óptica,0,1,1,1,1,1,Anual,Sí,Transferencia bancaria (automática),103.7,5656.75,3.4566666666666666,7
27,0040-HALCW,No,Masculino,No,Sí,Sí,54,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,No,Tarjeta de crédito (automático),20.4,1090.6,0.6799999999999999,1
28,0042-JVWOJ,No,Masculino,No,No,No,26,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,Sí,Transferencia bancaria (automática),19.6,471.85,0.6533333333333334,1
29,0042-RLHYP,No,Femenino,No,Sí,Sí,69,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,No,Transferencia bancaria (automática),19.7,1396.9,0.6566666666666666,1
31,0048-LUMLS,No,Masculino,No,Sí,Sí,37,Sí,0,Fibra óptica,0,0,0,0,1,1,Anual,No,Tarjeta de crédito (automático),91.2,3247.55,3.04,4
32,0048-PIHNL,No,Femenino,No,Sí,No,49,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,No,Transferencia bancaria (automática),20.45,900.9,0.6816666666666666,1
33,0052-DCKON,No,Masculino,No,Sí,No,66,Sí,1,Fibra óptica,1,1,1,1,1,1,Anual,No,Transferencia bancaria (automática),115.8,7942.15,3.86,9
34,0052-YNYOT,No,Femenino,No,No,No,67,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,No,Cheque electrónico,20.55,1343.4,0.685,1
35,0056-EPFBG,No,Masculino,No,Sí,Sí,20,No,Sin servicio telefónico,DSL,1,0,1,1,0,0,Semestral,Sí,Tarjeta de crédito (automático),39.4,825.4,1.3133333333333332,4
36,0057-QBUQH,No,Femenino,No,No,Sí,43,Sí,1,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,Sí,Cheque electrónico,25.1,1070.15,0.8366666666666667,2
37,0058-EVZWM,No,Femenino,No,Sí,No,55,Sí,1,Fibra óptica,1,0,0,0,1,0,Mensual,Sí,Transferencia bancaria (automática),89.8,4959.6,2.993333333333333,5
38,0060-FUALY,No,Femenino,No,Sí,No,59,Sí,1,Fibra óptica,1,1,0,0,1,0,Mensual,Sí,Cheque electrónico,94.75,5597.65,3.158333333333333,6
39,0064-SUDOG,No,Femenino,No,Sí,Sí,12,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,No,Transferencia bancaria (automática),20.3,224.5,0.6766666666666666,1
40,0064-YIJGF,No,Masculino,No,Sí,Sí,27,Sí,1,Fibra óptica,0,0,0,0,0,0,Mensual,Sí,Transferencia bancaria (automática),75.75,1929.0,2.525,3
41,0067-DKWBL,Sí,Masculino,Sí,No,No,2,Sí,0,DSL,1,0,0,0,0,0,Mensual,Sí,Cheque electrónico,49.25,91.1,1.6416666666666666,3
42,0068-FIGTF,No,Femenino,No,No,No,27,Sí,0,DSL,0,1,1,1,1,1,Anual,No,Cheque por correo,78.2,2078.95,2.606666666666667,7
43,0071-NDAFP,No,Masculino,No,Sí,Sí,25,Sí,1,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,No,Tarjeta de crédito (automático),25.5,630.6,0.85,2
44,0074-HDKDG,No,Masculino,No,Sí,Sí,25,Sí,0,DSL,1,1,1,0,0,0,Anual,Sí,Transferencia bancaria (automática),61.6,1611.0,2.0533333333333332,5
45,0076-LVEPS,No,Masculino,No,No,Sí,29,No,Sin servicio telefónico,DSL,1,1,1,1,0,0,Mensual,Sí,Cheque por correo,45.0,1242.45,1.5,5
46,0078-XZMHT,No,Masculino,No,Sí,No,72,Sí,1,DSL,0,1,1,1,1,1,Semestral,Sí,Transferencia bancaria (automática),85.15,6316.2,2.8383333333333334,8
47,0080-EMYVY,No,Femenino,No,No,No,14,Sí,0,DSL,0,1,0,0,0,0,Anual,No,Tarjeta de crédito (automático),51.45,727.85,1.715,3
48,0080-OROZO,No,Femenino,No,No,No,35,Sí,0,Fibra óptica,0,0,1,1,1,1,Anual,Sí,Cheque electrónico,99.25,3532.0,3.308333333333333,6
49,0082-LDZUE,No,Masculino,No,No,No,1,Sí,0,DSL,0,0,0,0,0,0,Mensual,Sí,Cheque por correo,44.3,44.3,1.4766666666666666,2
50,0082-OQIQY,No,Masculino,No,No,No,29,Sí,0,Fibra óptica,0,0,0,1,1,1,Mensual,Sí,Cheque electrónico,94.2,2607.6,3.14,5
51,0083-PIVIK,No,Masculino,No,No,No,64,Sí,1,DSL,1,1,1,1,1,0,Anual,No,Cheque electrónico,81.25,5567.55,2.7083333333333335,8
52,0089-IIQKO,No,Femenino,No,Sí,Sí,39,Sí,1,Fibra óptica,0,0,0,1,1,1,Mensual,Sí,Tarjeta de crédito (automático),99.95,3767.4,3.3316666666666666,6
53,0093-EXYQL,No,Femenino,Sí,No,No,40,Sí,0,Fibra óptica,0,0,0,0,1,1,Mensual,Sí,Cheque electrónico,91.55,3673.6,3.0516666666666667,4
54,0093-XWZFY,Sí,Masculino,No,No,No,40,Sí,1,Fibra óptica,0,1,1,0,1,1,Mensual,Sí,Tarjeta de crédito (automático),104.5,4036.85,3.4833333333333334,7
55,0094-OIFMO,Sí,Femenino,Sí,No,No,11,Sí,0,Fibra óptica,0,1,0,0,1,1,Mensual,Sí,Cheque electrónico,95.0,1120.3,3.1666666666666665,5
56,0096-BXERS,No,Femenino,No,Sí,No,6,Sí,1,DSL,0,0,0,0,0,0,Mensual,No,Cheque electrónico,50.35,314.55,1.6783333333333335,3
57,0096-FCPUF,No,Masculino,No,No,No,30,Sí,1,DSL,1,0,0,0,0,1,Mensual,Sí,Cheque por correo,64.5,1888.45,2.15,5
58,0098-BOWSO,No,Masculino,No,No,No,27,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,Sí,Cheque electrónico,19.4,529.8,0.6466666666666666,1
59,0100-DUVFC,No,Masculino,Sí,Sí,No,70,Sí,1,Fibra óptica,0,1,1,0,1,1,Anual,Sí,Cheque electrónico,104.8,7308.95,3.493333333333333,7
60,0103-CSITQ,No,Femenino,No,Sí,No,57,Sí,1,Fibra óptica,0,1,1,1,1,1,Anual,Sí,Transferencia bancaria (automática),109.4,6252.7,3.646666666666667,8
61,0104-PPXDV,No,Masculino,No,Sí,No,58,Sí,0,DSL,0,0,1,0,0,0,Anual,No,Tarjeta de crédito (automático),50.3,2878.55,1.6766666666666665,3
62,0106-GHRQR,No,Masculino,No,No,No,16,Sí,1,DSL,0,1,1,0,0,1,Mensual,Sí,Transferencia bancaria (automática),71.4,1212.1,2.3800000000000003,6
63,0106-UGRDO,No,Femenino,No,Sí,No,69,Sí,1,Fibra óptica,1,1,1,1,1,1,Semestral,Sí,Cheque electrónico,116.0,8182.85,3.8666666666666667,9
64,0107-WESLM,Sí,Masculino,No,No,No,1,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,Sí,Cheque electrónico,19.85,19.85,0.6616666666666667,1
65,0107-YHINA,Sí,Masculino,No,No,Sí,1,Sí,1,Fibra óptica,0,0,1,0,1,1,Mensual,Sí,Cheque electrónico,99.75,99.75,3.325,6
66,0111-KLBQG,No,Masculino,Sí,Sí,Sí,32,Sí,0,Fibra óptica,0,1,0,0,1,1,Mensual,Sí,Cheque por correo,93.95,2861.45,3.131666666666667,5
67,0112-QAWRZ,No,Masculino,No,Sí,Sí,16,Sí,1,Fibra óptica,0,0,1,0,1,0,Mensual,Sí,Transferencia bancaria (automática),90.8,1442.2,3.0266666666666664,5
68,0112-QWPNC,Sí,Masculino,No,Sí,No,49,Sí,1,DSL,1,0,1,1,1,1,Anual,No,Cheque electrónico,84.35,4059.35,2.8116666666666665,8
69,0114-IGABW,No,Femenino,No,Sí,No,71,No,Sin servicio telefónico,DSL,0,1,1,1,1,1,Semestral,No,Transferencia bancaria (automática),58.25,4145.9,1.9416666666666667,6
70,0114-PEGZZ,No,Femenino,No,No,No,33,Sí,1,Fibra óptica,0,1,1,0,1,1,Mensual,No,Cheque electrónico,107.55,3645.5,3.585,7
71,0114-RSRRW,No,Femenino,No,Sí,No,10,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,Sí,Transferencia bancaria (automática),19.95,187.75,0.6649999999999999,1
72,0115-TFERT,Sí,Masculino,No,Sí,No,21,Sí,1,Fibra óptica,0,1,1,1,1,1,Mensual,Sí,Cheque electrónico,111.2,2317.1,3.7066666666666666,8
73,0117-LFRMW,Sí,Masculino,No,Sí,Sí,37,No,Sin servicio telefónico,DSL,1,1,1,0,0,0,Mensual,No,Transferencia bancaria (automática),40.2,1448.8,1.34,4
74,0118-JPNOY,No,Femenino,Sí,No,No,26,Sí,0,Fibra óptica,1,0,0,0,1,0,Mensual,Sí,Tarjeta de crédito (automático),85.8,2193.65,2.86,4
76,0121-SNYRK,No,Masculino,No,No,No,50,No,Sin servicio telefónico,DSL,1,0,0,1,0,0,Anual,Sí,Cheque por correo,35.4,1748.9,1.18,3
77,0122-OAHPZ,Sí,Femenino,No,No,No,7,Sí,1,Fibra óptica,0,0,0,0,0,0,Mensual,Sí,Cheque electrónico,73.85,511.25,2.4616666666666664,3
78,0123-CRBRT,No,Femenino,No,Sí,Sí,61,Sí,1,DSL,1,1,1,1,1,1,Semestral,No,Cheque por correo,88.1,5526.75,2.9366666666666665,9
79,0125-LZQXK,Sí,Masculino,No,No,No,15,Sí,0,Fibra óptica,0,0,1,1,1,1,Mensual,Sí,Cheque electrónico,101.35,1553.95,3.378333333333333,6
80,0128-MKWSG,No,Femenino,No,No,Sí,26,No,Sin servicio telefónico,DSL,1,0,0,1,0,1,Mensual,No,Cheque por correo,45.8,1147.0,1.5266666666666666,4
81,0129-KPTWJ,No,Masculino,No,Sí,No,72,Sí,0,Fibra óptica,0,0,1,0,1,1,Mensual,Sí,Cheque electrónico,94.65,6747.35,3.1550000000000002,5
82,0129-QMPDR,No,Masculino,No,Sí,Sí,44,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Anual,Sí,Transferencia bancaria (automática),20.5,865.05,0.6833333333333333,1
83,0130-SXOUN,No,Masculino,No,No,No,66,Sí,1,Fibra óptica,0,1,0,0,0,1,Mensual,No,Tarjeta de crédito (automático),89.4,5976.9,2.98,5
84,0133-BMFZO,Sí,Femenino,No,No,No,2,Sí,0,Fibra óptica,1,1,0,1,0,0,Mensual,Sí,Cheque electrónico,86.25,181.65,2.875,5
85,0134-XWXCE,No,Femenino,Sí,No,No,44,Sí,0,DSL,0,0,1,1,1,1,Anual,No,Transferencia bancaria (automática),74.85,3268.05,2.4949999999999997,6
86,0135-NMXAP,Sí,Femenino,No,No,No,12,Sí,1,Fibra óptica,0,1,0,0,1,0,Mensual,Sí,Transferencia bancaria (automática),89.75,1052.4,2.9916666666666667,5
87,0136-IFMYD,No,Masculino,Sí,Sí,No,69,Sí,1,Fibra óptica,0,1,1,1,1,1,Semestral,Sí,Cheque electrónico,109.95,7634.25,3.665,8
88,0137-OCGAB,Sí,Femenino,No,No,No,1,Sí,1,Fibra óptica,0,1,0,0,0,0,Mensual,Sí,Cheque por correo,80.2,80.2,2.6733333333333333,4
89,0137-UDEUO,Sí,Femenino,No,No,No,3,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,No,Cheque por correo,19.85,63.75,0.6616666666666667,1
90,0139-IVFJG,No,Femenino,No,Sí,No,2,Sí,0,Fibra óptica,1,1,0,0,1,0,Mensual,No,Cheque electrónico,90.35,190.5,3.0116666666666663,5
91,0141-YEAYS,No,Femenino,Sí,No,No,27,Sí,1,Fibra óptica,0,1,1,0,0,0,Mensual,Sí,Transferencia bancaria (automática),86.45,2401.05,2.881666666666667,5
92,0142-GVYSN,No,Masculino,No,No,No,26,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,Sí,Cheque electrónico,20.3,511.25,0.6766666666666666,1
93,0147-ESWWR,No,Femenino,Sí,Sí,No,39,Sí,1,Fibra óptica,0,0,0,1,1,1,Mensual,Sí,Cheque electrónico,101.25,3949.15,3.375,6
94,0148-DCDOS,Sí,Masculino,No,No,No,25,Sí,1,Fibra óptica,0,0,0,0,1,1,Mensual,Sí,Transferencia bancaria (automática),94.7,2362.1,3.1566666666666667,5
95,0151-ONTOV,Sí,Femenino,No,No,No,1,Sí,0,Fibra óptica,0,0,0,0,0,0,Mensual,No,Cheque por correo,70.9,70.9,2.3633333333333337,2
97,0156-FVPTA,Sí,Masculino,No,Sí,No,22,Sí,0,DSL,1,0,0,1,0,0,Mensual,Sí,Cheque electrónico,54.2,1152.7,1.8066666666666669,4
99,0164-APGRB,No,Femenino,No,No,No,72,Sí,1,Fibra óptica,1,1,1,1,1,1,Semestral,Sí,Cheque electrónico,114.9,8496.7,3.83,9
100,0164-XAIRP,No,Femenino,No,No,No,24,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,Sí,Transferencia bancaria (automática),19.55,470.2,0.6516666666666667,1
101,0168-XZKBB,No,Femenino,No,Sí,No,19,Sí,1,Fibra óptica,0,0,0,0,1,0,Mensual,Sí,Cheque electrónico,86.85,1564.4,2.895,4
102,0174-QRVVY,No,Masculino,No,Sí,Sí,71,Sí,1,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Semestral,No,Tarjeta de crédito (automático),25.35,1847.55,0.8450000000000001,2
103,0177-PXBAT,No,Masculino,Sí,Sí,No,33,Sí,1,Fibra óptica,1,0,1,1,1,1,Mensual,Sí,Transferencia bancaria (automática),109.9,3694.7,3.6633333333333336,8
104,0178-CIIKR,No,Femenino,No,No,No,3,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,No,Cheque por correo,19.95,58.0,0.6649999999999999,1
105,0178-SZBHO,No,Masculino,No,Sí,Sí,47,Sí,1,Fibra óptica,0,1,0,0,1,0,Mensual,No,Cheque electrónico,87.2,4017.45,2.9066666666666667,5
106,0181-RITDD,No,Masculino,No,Sí,Sí,62,Sí,0,Fibra óptica,1,1,1,1,1,1,Semestral,No,Cheque por correo,108.15,6825.65,3.605,8
107,0186-CAERR,No,Masculino,No,No,No,71,Sí,1,Fibra óptica,1,1,1,1,1,1,Anual,Sí,Transferencia bancaria (automática),116.3,8309.55,3.8766666666666665,9
108,0187-QSXOE,No,Masculino,Sí,Sí,No,7,Sí,0,Fibra óptica,0,0,0,0,1,1,Mensual,Sí,Cheque electrónico,89.0,605.45,2.966666666666667,4
109,0187-WZNAB,No,Femenino,No,Sí,Sí,27,Sí,0,Fibra óptica,1,0,0,0,0,0,Mensual,No,Cheque por correo,74.4,1972.35,2.48,3
110,0188-GWFLE,No,Masculino,No,No,No,2,Sí,0,No,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Sin servicio de Internet,Mensual,No,Cheque por correo,20.05,33.7,0.6683333333333333,1
111,0191-EQUUH,No,Femenino,No,No,Sí,25,No,Sin servicio telefónico,DSL,1,0,0,1,0,0,Semestral,No,Transferencia bancaria (automática),35.05,844.45,1.1683333333333332,3
112,0191-ZHSKZ,No,Masculino,Sí,No,No,30,Sí,0,DSL,1,1,0,0,1,1,Mensual,Sí,Cheque electrónico,74.75,2111.3,2.4916666666666667,6
113,0193-ESZXP,Sí,Femenino,Sí,Sí,No,58,Sí,0,Fibra óptica,1,1,0,1,1,1,Anual,Sí,Tarjeta de crédito (automático),105.5,6205.5,3.5166666666666666,7
